Gene,Label
Q9W283,0
P29555,1
V9H1H6,0
X2JGR4,0
Q9VKM4,0
P10083,0
Q8T0K7,0
P24350,0
Q9VAD0,0
P09478,0
P16395,0
Q9VZC4,0
P17644,0
X2JCP8,0
P02572,0
P53501,0
P02574,0
P10981,0
P83967,0
P35421,0
X2J516,0
P00334,0
X2JAH0,0
Q95TD6,0
Q06453,0
Q9VEH1,0
Q86NZ4,0
Q7KSX2,0
Q5BID9,0
Q9U4H5,0
Q9BPS9,0
Q2VYA3,0
P22464,0
P22465,0
O76879,0
P21663,0
Q01842,1
P19889,0
P14599,0
X2J8L3,0
Q960Z4,0
P25160,0
P48610,0
Q95NY7,0
Q9NHE9,0
X2J8V5,0
Q5BIJ0,0
P09775,0
Q94545,0
Q9VC45,0
O76922,0
Q9VGF9,0
Q8IH27,0
O97132,0
X2J8B3,0
P20009,0
P22745,0
X2JFU8,0
P09081,0
P35128,0
X2JI97,0
P23645,0
Q9U9Q7,0
Q24009,0
P16568,0
Q8MSJ2,0
P25439,0
Q5G1Y7,0
Q24157,0
Q9VR17,0
Q9VMS6,0
Q8IGX1,0
Q8SXR3,0
Q9VIE7,0
P12428,0
Q9VHC3,0
Q9VF37,0
Q9VAG5,0
Q03017,0
P09085,0
P62152,0
Q9VQV9,0
Q9Y1I2,0
Q9NGY9,0
P17336,0
P12370,0
P16911,0
C0HKQ7,0
C0HKQ8,0
Q6LAH5,0
O16829,0
Q24478,0
Q8T3L9,1
Q9VKH3,0
Q9NI49,1
P08120,0
P07668,0
Q9NK54,0
P25843,0
Q6W4E3,0
Q9V3Z6,0
Q9VMQ9,0
X2JC31,0
Q8MQK0,0
Q9W2F4,0
O76928,0
A1Z746,0
P49858,0
P46461,0
Q960N3,0
O16844,0
P07185,0
P22977,0
P07184,0
P07186,0
P07182,0
P07183,0
Q9VID3,0
O76906,0
P17886,0
P29349,0
P25157,0
X2J9P9,0
Q9W494,0
Q9W2H2,0
P14785,0
P20439,0
P19967,0
Q24533,0
P22058,0
P98081,0
Q9Y125,0
P05031,0
Q24297,0
P18171,0
P07548,0
Q03042,0
P32748,0
Q8SXA4,1
Q9NGX9,0
X2JAX9,0
Q9VFQ9,0
Q9VG79,0
P23792,0
P16621,0
P33270,0
Q9VED8,0
Q9W4T4,0
Q24314,0
Q194S5,0
P07713,0
Q03372,0
Q5G232,0
P09040,0
P23023,0
Q9W4V9,0
Q23985,0
Q9VDC6,0
Q61677,0
P13582,0
Q0KHS8,0
X2JFQ7,0
Q9W0T1,0
Q7K7E6,0
Q9W032,0
P34021,0
Q9VQW7,0
X2JGZ5,0
P27780,0
P05303,0
P13060,0
P15370,0
Q9W1K4,0
Q07892,0
Q7KUN2,0
Q7JXZ2,0
Q95SX3,1
Q95SD4,0
V9GZB5,0
Q5BIB4,0
P02836,0
Q8T4F7,0
P15007,0
Q95TF0,0
Q24338,0
P13098,0
P08171,0
P18167,0
P06602,0
P40427,0
P28750,0
Q27272,0
Q9VYX1,0
Q9VTX7,1
P42124,0
O61674,0
X2JCI0,0
X2JAT7,0
Q04691,0
X2J986,0
P11450,0
P54360,0
Q7YU22,0
Q9Y091,0
P18091,0
Q24020,0
Q8T0U6,0
P10552,0
P40795,0
Q8MRK0,0
Q8WRX4,0
O62589,0
P13468,0
Q8SZA4,0
P25028,0
Q9W4W2,0
Q9VIW0,0
Q7JVY2,1
Q95RM5,0
V9GZB7,0
P33244,0
P23647,0
Q9VYR4,0
O16868,0
P18537,0
Q6NR32,1
P54362,0
Q9VMJ5,0
P29746,0
P07486,0
P07487,0
Q8IMY1,0
P22468,0
P20353,0
P26308,0
P13496,0
P33438,0
Q9VUI0,0
P16378,0
P20354,0
Q8IHB4,0
Q9VQ61,0
P13706,0
Q9U405,0
Q24352,0
P42287,0
P91623,0
P16371,0
P20477,0
X2JJG8,0
P09083,0
P09082,0
P20432,0
P39572,0
P14003,0
Q02308,0
P10035,0
Q8SYZ9,0
Q02870,0
P05084,0
Q9VJJ6,0
Q9W330,0
Q9GTU5,0
Q9W568,0
P08985,0
Q24185,0
Q9XZ33,0
Q59E23,0
P07909,0
Q8IH88,0
P11146,0
P29844,0
P29845,0
Q95TH9,0
P02515,0
P02516,0
X2JGG6,0
X2JC82,0
P05812,0
P22978,0
P22979,0
O97125,0
P02828,0
O46339,0
P22817,0
Q9VSI6,0
P12080,0
Q9VSJ0,0
P29681,0
Q9VHW8,0
Q9VU62,0
Q3YMW0,0
Q95028,0
Q9VPH0,0
Q24008,0
P05527,0
Q7KBL8,0
P20348,0
Q7JX43,0
P18289,0
Q9VG39,0
P21525,1
Q04652,0
P17210,0
Q9I7P4,0
Q9GPN8,0
X2JAH4,0
P56721,0
X2JGX8,0
Q9VH23,0
P13054,0
Q9VW47,0
P07247,0
X2JCE0,0
Q9W5E4,0
Q95ST6,0
O97454,0
Q9VRI0,0
Q4PLW2,0
Q94515,0
Q02748,1
O97182,0
P26675,0
Q9VJU2,0
Q8MVS5,0
Q9V3Y2,0
P40798,0
Q3YND2,0
Q9VJP2,0
Q9Y134,0
Q9NK80,0
Q9V3W2,0
Q9VJN5,0
Q24270,0
X2JA13,0
Q9V406,0
Q9V3D0,0
Q9VJ10,0
Q9V3A4,0
Q9VJ02,0
P24156,0
P18487,0
Q9VIV2,0
Q9XYM1,0
P08111,0
Q7KVH7,0
Q8IRG6,0
Q9VV77,0
P40304,1
Q04164,0
Q9VG00,0
O76324,0
P51592,0
P52302,0
Q9VB52,0
Q9VTY8,0
Q8ST83,0
P10105,0
Q9V3F2,0
P08928,0
Q00174,1
P02839,0
P07187,0
P07188,0
P07189,0
Q8MT27,0
Q9VQ08,0
Q9V4Z9,0
P09774,0
P11995,0
X2J8F5,0
P11997,0
X2JCV2,0
Q8MT46,0
Q8T0G8,0
P07191,0
P07190,0
P07192,0
Q9N658,0
Q9W349,0
Q9VYU8,0
Q56LZ6,0
X2JC35,1
X2JKU5,0
O97177,0
P08570,1
Q56LI3,0
Q06559,1
P04359,1
P13095,0
Q56K83,0
O97179,0
P13097,0
X2JFY7,0
P21519,1
Q8IMF5,0
Q03019,0
T2FFI3,0
Q8MR81,0
Q24141,0
Q7KPA5,0
Q9VG32,0
Q9VYW2,0
O97178,0
Q01069,0
Q01071,0
Q01070,0
P49028,0
P06742,0
P18432,0
P24785,0
P50536,0
Q9Y1A7,0
Q8IGX8,0
Q8MSJ7,0
Q9VF03,0
P26270,1
P14318,0
Q9W1E5,0
Q9VBA8,0
Q9VP40,0
P10333,0
X2J8T8,0
P08175,0
P16548,0
Q9VAW8,0
P04357,0
P11956,0
Q9W061,0
Q9VY43,0
Q9VY97,0
Q9I7N6,0
Q9GSR1,0
Q9VSE2,0
Q9VVN4,0
O18475,0
Q9VGI8,0
Q9VS48,0
Q53YG3,0
R9PY25,0
P13607,0
Q4V6U8,0
Q5UHE2,0
P98159,0
Q9U5W7,0
Q9VPI8,0
P29503,0
P23938,0
Q540W6,0
Q9VFS2,0
P10676,0
Q8MS21,0
P06002,0
P22807,0
Q9VVV9,0
X2JEV2,0
Q8SY38,0
P16554,0
P23803,1
O76460,0
P39768,0
Q9W1E8,0
Q24434,0
Q9VDU9,0
P25158,0
Q27421,0
P10383,0
P51521,0
Q9U7D8,0
Q541F9,0
Q24459,0
P14484,0
P18490,0
Q9W4J1,0
Q9VX65,0
Q9VFU0,0
Q9W1V3,0
Q9V9U0,0
P20007,0
P07663,0
P52034,0
P52029,0
Q9VUY9,0
P11346,0
Q7JY97,0
Q6BF93,0
Q24454,0
Q86BJ3,0
Q3YNB2,0
P05130,0
Q95T78,0
Q868J0,0
Q629J6,0
Q9VEZ8,0
P51023,0
P52304,0
P23757,0
Q4V720,0
Q05547,0
P48461,0
Q95SR4,0
Q27884,0
P11612,0
P48611,0
P06601,0
P35416,0
X2JI50,0
P48596,0
P25822,0
Q95T01,0
A1Z6W9,0
Q9W244,0
Q23989,0
X2JFG0,0
Q07152,0
P08646,0
P04388,0
X2J5A2,1
Q9W4K1,0
X2JF93,0
Q9VF30,0
P14199,0
Q86P71,0
P04950,0
Q8MYV5,0
Q7KF43,0
Q9NDI1,0
P40417,0
Q01637,0
Q5LK30,0
P10181,0
Q9V9W7,0
Q9Y0A7,0
P05389,1
Q24320,0
Q8SXM3,0
P20028,0
P09180,0
X2JCF8,0
Q9VTK2,0
Q9W0F8,0
X2JEJ3,0
P32870,1
P50445,0
P10351,0
P42519,0
Q9VGH1,0
P21750,0
Q95U21,0
Q05319,0
Q9U1H9,1
P21520,0
O44386,0
Q9VB08,0
Q9VHA0,0
P09077,1
X2JFL9,0
Q9VIW3,0
Q7JPB9,0
C0HKF7,0
Q5BI60,0
P17207,0
X2JB48,0
Q6SDN2,0
Q7KVY5,0
Q9Y0E9,0
P02840,0
Q00725,0
P07701,0
P02841,0
P02842,0
Q95SS6,0
B7YZF2,0
Q8SYL2,0
Q9VUF8,0
X2JED7,0
Q24298,1
X2JE15,0
Q8SZT5,0
Q9W1I9,0
X2JB60,0
Q9VZ09,0
Q7KTX8,0
Q9VXH3,0
Q04499,0
Q95T95,0
Q961V5,0
Q8SXP5,0
Q86PA9,0
Q8SY91,0
P08044,0
P43332,0
P05049,0
Q9VUE5,0
Q95T66,1
