Gene,GSM1649262,GSM1649263,GSM1649264,GSM1649265,GSM1649266,GSM1649267,GSM1649268,GSM1649269,GSM1649270,GSM1649271,GSM1649272,GSM1649273,GSM1649274,GSM1649275,GSM1649276,GSM1649277,GSM1649278,GSM1649279,GSM1649280,GSM1649281,GSM1649282,GSM1649283,GSM1649284,GSM1649285,GSM1649286,GSM1649287,GSM1649288,GSM1649289,GSM1649290,GSM1649291,GSM1649292,GSM1649293,GSM1649294,GSM1649295,GSM1649296,GSM1649297,GSM1649298,GSM1649299,GSM1649300,GSM1649301,GSM1649302,GSM1649303,GSM1649304,GSM1649305,GSM1649306,GSM1649307,GSM1649308,GSM1649309,GSM1649310,GSM1649311,GSM1649312,GSM1649313,GSM1649314,GSM1649315,GSM1649316,GSM1649317,GSM1649318,GSM1649319,GSM1649320,GSM1649321,GSM1649322,GSM1649323,GSM1649324,GSM1649325,GSM1649326,GSM1649327
X2JCP8,-0.562728165,0.44577390899999997,0.06268809,0.45000032799999995,-0.537328416,0.422718315,0.189263842,0.424316851,-0.534150208,0.525062469,0.012450635,0.34863683799999995,-0.276237606,0.633591919,0.161221464,0.41365394299999997,-0.309487436,0.70520361,0.351654422,0.5422883820000001,-0.380197475,0.655701051,0.682097796,0.598938755,-0.677255411,0.800397457,0.078529767,0.61256179,-0.43151026,0.847959912,0.19914162800000001,0.8325709609999999,-0.49092686799999996,0.8985641740000001,0.155784494,0.073739728,-0.19397357699999998,0.638065611,0.17265106600000002,0.5374838129999999,-1.413874223,0.151167937,0.243587025,0.9397285879999999,0.330622721,0.163304221,0.020870636,0.131646812,0.177967508,0.136008922,0.18329441100000002,0.230937946,-0.14801062,0.125115459,0.407603266,0.6918205040000001,0.35477406899999997,0.130907555,0.154413677,-0.038242736,0.618609882,0.01665404,0.33713610200000005,-0.627899401,0.370961053,-0.378279015
Q02748,-0.142506515,-0.156428711,-0.41604281200000004,0.278981818,-0.294841422,-0.137052568,0.320794268,0.282475097,-0.129715546,-0.131612906,-0.32206629,0.044995094000000006,0.002820902,-0.031306206,0.152473189,0.481304316,-0.140316613,0.045515612000000004,-0.21132173199999998,0.535484508,-0.162663631,-0.05778916,0.374746925,0.821178168,0.018684421,0.202895465,-0.323556742,0.844254746,0.078755992,0.842677786,-0.053908458,0.791278695,0.007698681999999999,0.131228953,-0.057711207,0.628760136,0.269556845,0.001729488,0.159275084,0.5118912760000001,-0.491913657,-0.221651273,-0.5518822529999999,0.15310787,0.031816812,-0.270424214,0.136030441,0.265991168,0.154279216,0.162589726,0.132696294,0.18842245300000002,0.248818961,0.185112506,0.355337654,0.40690868,-0.018230813999999998,0.078346532,0.07274652,0.034621631,0.870242225,0.26974012,0.394984823,0.068251447,0.193895265,-0.008244411
0,0.197026967,-0.50162376,-0.50517613,-0.112695564,-0.18815274,-0.449571944,-0.6476658820000001,-0.23157304,-0.030283683999999998,-0.621657244,0.023465447,-0.131208342,-0.525775796,-0.790715493,-0.499869578,-0.158978511,-0.18029710100000002,-0.6879334640000001,-0.322699069,0.029107506000000002,0.071635016,-1.1324951909999998,-0.425223797,0.330651903,0.370923999,-0.915374143,-0.774598749,-0.187916053,0.101295366,-0.817449967,-0.443199953,-0.7338381429999999,0.626291584,-0.7446073320000001,-0.25934913800000003,0.307906802,-0.084799486,-1.117738327,-0.337184406,0.124294777,0.17275785100000002,-0.262598058,-0.12278557300000001,-0.313242215,-0.067485715,-0.465585401,-0.9390846070000001,-0.13436921300000002,-0.445759826,0.09240908699999999,0.248196494,-0.095623214,0.22718012899999998,0.07235170099999999,-0.11703608,0.045054647999999996,0.070856465,-0.46921092700000006,0.00382223,-0.775418175,0.188084168,-0.057371714000000004,-0.302063924,-0.16304061,-0.142499736,0.15915310900000001
Q9W2P0,-0.599683956,-0.550806033,-0.193370453,0.320287211,-0.661903131,1.4250025469999998,-0.254448345,0.221187045,-0.39640603399999996,-0.302495342,-0.284519961,0.28927295399999997,-0.514548244,-0.061152734,-0.207675953,0.399628315,-0.621551736,-0.417723413,-0.174599709,0.20993209,-0.202876993,-0.213466005,0.058455602999999995,0.30651919,-0.733110319,-0.12599637,-0.24752396699999998,0.301018964,-0.19196231100000002,-0.286427359,-0.003811698,0.594841387,-0.23213152,-0.41056979200000004,0.005172869,0.27194272,-0.263187806,-0.39484097100000004,0.098528426,0.6228937379999999,-1.231317824,-0.8228055590000001,-0.09691258900000001,0.067884174,-0.08290910900000001,-0.125771427,-0.418312381,0.20345976,-0.661308731,-0.322991017,-0.344196632,-0.160520035,-0.320359468,-0.17895189399999997,0.239281594,0.033983813,-0.215654488,-0.366992663,-0.5563860420000001,-0.330023412,0.492813779,-0.135288181,0.031360026,-0.975324713,-0.256343783,-0.181891843
Q8IRB1,-0.371756625,0.12334624599999999,-0.213971663,0.502917293,-0.281575405,0.174647694,-0.131784278,0.038202549,-0.408373735,-0.52066582,-0.600795145,0.572272501,-0.494016985,0.26146263399999997,-0.320265027,0.086508233,-0.615245158,-0.442537926,-0.370183738,-0.10243253599999999,-0.446570199,-0.060676468,0.857362168,0.5161966339999999,-0.632671737,-0.18240842,-0.42315223399999996,0.003471909,-0.40476207399999997,-0.037595974,-0.527210507,0.321994598,-0.34310599399999997,-0.309007653,-0.226619266,0.17917892,-0.287184819,-0.405728531,-0.40412083600000004,0.238810518,0.048751985,0.08199753,-0.01860557,0.318741662,0.03991012,0.065646748,0.071084752,0.141619029,0.250317002,0.29587933,0.121147466,0.23516110899999998,0.658868291,0.140857846,-0.229982617,1.01527277,0.245382894,-0.12693232699999998,0.624843809,0.324328094,0.27175972600000003,0.419294875,0.5446861270000001,-0.47256391,0.598723589,0.307168495
0,-0.319943402,-0.207267321,-0.15809052099999998,-0.312727673,-0.305588821,-0.811232301,-0.38851724600000004,-0.14951679199999998,-0.111231043,-0.228144265,0.196724449,0.222121071,-0.210003479,-0.066677031,-0.11898470800000001,0.39735863200000004,-0.217149427,-0.197212451,-0.073568465,0.381479409,-0.286363043,-0.12271489599999999,0.7267094759999999,0.5724714,-0.12382046199999999,-0.176752164,-0.261022113,0.218133828,-0.152224732,-0.182071924,-0.17219898,0.048469724000000006,-0.10212902800000001,-0.40614840700000004,-0.171804244,0.41763239,-0.053229301,-0.24701917699999998,-0.160707403,0.372667188,-0.11817005900000001,-0.081983535,-0.12156496,-0.06926118099999999,0.18796339,-0.294089224,-0.156714579,0.058734460999999995,-0.010682873,0.093957297,-0.085171411,-0.003068105,0.356265421,0.159651504,-0.45925311799999996,0.539124766,0.066704605,-0.245261547,0.184036521,-0.23406426800000002,0.9283513459999999,-0.017745353999999998,0.13329944,-0.52478924,0.23727388100000002,0.21505285300000002
Q9VZY2,-0.7694106,1.6486616530000002,-0.615016918,0.49762190799999995,-0.9059270009999999,0.418133139,-0.38716554200000003,-0.543628042,-0.597667204,0.071203511,-0.327740676,0.0,-0.86678849,0.8682095670000001,-0.224594242,0.12375691800000001,-0.5637379370000001,-0.154117966,-0.311543355,0.04824453,-0.433306277,0.34285735,-0.058211688,1.165075493,-1.3529157440000001,0.698706356,-0.480704917,0.5991997029999999,-0.5208328210000001,0.233664812,-0.545961618,0.59267349,-0.451743679,-0.158411351,0.102275164,0.040151336,-0.710267137,0.0,-0.141733799,-0.14430105599999998,-1.1033629440000001,-0.08720571099999999,-0.369623207,-0.027276631000000003,-0.17131285899999998,-0.597058368,-0.648199431,-0.224757385,0.45092080100000004,-0.751170426,-0.528467017,0.050381184,-0.411329455,-0.13231289699999998,-0.863344322,0.081150061,-0.232849225,-0.8722400490000001,-0.506034907,-0.995696527,0.201222287,-0.443480786,0.22900627699999998,-1.286445359,0.625120408,0.165031866
0,-0.719868081,-0.295649299,-0.462969001,-0.09648316900000001,-0.651051747,-0.35021495799999997,-0.345507215,-0.027357017,-0.515523896,-0.301734153,-0.286356932,0.037850792,-0.9061453070000001,-0.348984915,-0.128187697,0.143557548,-0.838724227,-0.372248674,-0.42591646,-0.375050486,-0.787638408,-0.44005316,-0.225014281,-0.050234402000000004,-0.722756533,-0.43193534,-0.698269705,-0.162864528,-0.65607979,-0.122344779,-0.303029414,0.072550269,-0.951774083,0.06137331,-0.5540098410000001,0.23329488199999998,-0.7102435359999999,-0.524957369,-0.41277558299999995,-0.47031636,-0.595428041,0.07676215900000001,-0.47643172200000006,-0.087228745,0.020204417,-0.44666511700000006,-0.301439077,-0.059334251,-0.20312927600000003,-0.129115476,-0.041271861,0.13771276699999999,0.17618387300000002,0.162883434,-0.078133501,-0.04492285099999999,-0.13254237300000002,-0.261832497,-0.259135199,-0.156598042,0.20228195300000001,0.378219588,0.253583464,-0.22781549,0.6416842229999999,-0.771253903
Q8SX81,-1.665638622,-0.10976351599999999,-0.450332963,-0.225995597,-1.697634984,0.04647518,-0.41517619,-0.091929855,-1.505242885,0.068925136,-0.23292188100000003,0.218845845,-1.57349276,0.49282734200000006,-0.39919641899999997,0.23611722300000001,-1.354462765,-0.000643315,-0.125933042,-0.23154287899999998,-1.46826822,0.077445577,0.529664347,0.37986645399999996,-1.61614012,0.188920621,-0.356957884,0.457028272,-1.536238948,0.590359716,-0.000356945,1.353019758,-1.122268408,0.558808457,0.147372437,-0.072236516,-1.11281951,-0.036086395,0.272524547,0.41979149,-2.295044129,0.296712934,-0.53050697,-0.09799542800000001,-0.028068914,-0.315068529,-0.45775800200000005,-0.270005791,-0.441798177,-0.153536017,-0.256508975,-0.187981258,-1.3440419209999999,-0.243955807,-0.20825354699999998,0.052203093,-0.270899528,-0.579789735,-0.518400509,-0.77054806,-0.009573164,-0.27939441800000003,-0.281049185,-1.79983902,-0.184326159,-0.767961563
Q8IQA2,0.408940953,-0.06238921,0.12237591199999999,0.24368755,-0.601679572,-0.631851533,0.112472445,-0.074847023,0.08835830300000001,-0.479267162,-0.208457738,-0.68029631,-0.410643676,-0.07239759,-0.06791726099999999,0.031169762,-0.48236542,-0.58996609,0.482293762,-0.060474121,-0.249310733,-0.722023668,0.977344245,0.482028264,-1.04034372,-0.054241335,-0.20085936399999998,-0.489107339,-1.440899729,-0.48886772799999995,0.43776172399999996,-0.562313548,0.18170627399999997,-0.839806475,0.08937729400000001,0.321780765,0.12571788,-0.7715714459999999,0.083865102,-0.38646759799999997,0.038517742,-0.932992623,-0.47919093700000004,-0.355070906,-0.39827782799999994,0.12778874,-0.210644544,0.68140269,0.12339605,0.7045478409999999,-0.065975939,0.17886866399999998,0.6530732779999999,0.17767483899999997,-0.624385722,-0.314812462,-0.5630192279999999,0.228846682,0.6074372579999999,-0.10989518599999999,0.15528175,0.228886869,0.371459654,-0.327172466,0.285182233,0.5373964929999999
