A,B
A1Z6E0,O97143
A1Z6E0,P14785
A1Z6E0,P23573
A1Z6E0,P25007
A1Z6E0,P33244
A1Z6E0,P40657
A1Z6E0,P46824
A1Z6E0,P54361
A1Z6E0,Q8INB9
A1Z6E0,Q9I7I7
A1Z6E0,Q9I7K6
A1Z6E0,Q9V6L9
A1Z6E0,Q9VQI9
A1Z6E0,Q9VTU3
A1Z6E0,Q9VVN4
A1Z6W3,O16868
A1Z6W3,O76324
A1Z6W3,P07207
A1Z6W3,P17210
A1Z6W3,P18537
A1Z6W3,P40792
A1Z6W3,P46824
A1Z6W3,P48148
A1Z6W3,P51140
A1Z6W3,P55824
A1Z6W3,Q9V5N8
A1Z6W3,Q9VPH0
A1Z8N1,Q9VNB5
A1Z8P9,O02193
A1Z8P9,P29617
A1Z8P9,P34021
A1Z8P9,P35820
A1Z8P9,P48810
A1Z8P9,P50536
A1Z8P9,Q9VB08
A1Z9A2,Q9VSH3
A1Z9S1,O96860
A1Z9S1,P48610
A1Z9S1,P54623
A1Z9S1,Q9V6B9
A1Z9S1,Q9VTM0
A1Z9S1,Q9VTY4
A1Z9S1,Q9VVT5
A1ZA92,P25822
A1ZA92,P41093
A1ZA92,P54397
A1ZA92,Q24106
A1ZA92,Q8MLY8
A1ZA92,Q9VHS8
A1ZA92,Q9VNE9
A1ZAB5,P11146
A1ZAB5,Q0E940
A1ZAB5,Q7YU24
A1ZAB5,Q8INB9
A1ZAB5,Q94920
A1ZAB5,Q9VA91
A1ZAB5,Q9VTP4
A1ZAB5,Q9W0V1
A1ZAI3,P49905
A1ZAW5,P09491
A1ZAW5,P18432
A1ZAW5,Q24297
A1ZAW5,Q9VV74
A1ZAW5,Q9VVX0
A1ZAX1,O77410
A1ZAX1,P19538
A1ZAX1,P54623
A1ZAX1,Q0E940
A1ZAX1,Q7JVI3
A1ZAX1,Q95V55
A1ZAX1,Q9U9Q4
A1ZAX1,Q9VCK0
A1ZAX1,Q9VN25
A1ZAX1,Q9VN50
A1ZAX1,Q9VTU4
A1ZAX1,Q9VZS3
A1ZAX1,Q9W0V1
A1ZAX1,Q9W2D9
A1ZAX1,Q9W4X7
A1ZBE8,P46150
A1ZBW7,Q7JW27
A8JR14,O76927
A8JR14,Q9VAQ7
A8JR14,Q9VNI3
O01346,P08646
O01346,Q8INB9
O01346,Q95V55
O01382,O02002
O01382,O76460
O01382,P06002
O01382,P25724
O01382,Q24106
O01382,Q24307
O01382,Q24475
O01382,Q24570
O01382,Q8INB9
O01382,Q9VMQ5
O01382,Q9VP47
O01382,Q9XYF4
O01666,P34082
O01666,P35381
O01666,P48605
O01666,P54623
O01666,Q24251
O01666,Q24319
O01666,Q24407
O01666,Q24439
O01666,Q8INB9
O01666,Q94516
O01666,Q94920
O01666,Q95028
O01666,Q9VSA3
O01666,Q9W141
O01666,Q9XY35
O02002,P02828
O02002,P10041
O02002,P20105
O02002,P25724
O02002,P25867
O02002,P25932
O02002,P45447
O02002,P55824
O02002,Q01842
O02002,Q24106
O02002,Q24475
O02002,Q24570
O02002,Q24574
O02002,Q8INB9
O02002,Q9VK45
O02002,Q9XYF4
O02193,P04052
O02193,P06603
O02193,P24785
O02193,P50534
O02193,P50536
O02193,P84040
O02193,Q24368
O02193,Q9V3J8
O02193,Q9VXE6
O02195,P07548
O02195,P08646
O02195,Q95V55
O02195,Q9VND8
O02195,Q9W0V1
O02372,Q9VT92
O02649,P08879
O02649,P11346
O02649,P29349
O02649,Q06453
O02649,Q07436
O02649,Q24307
O02649,Q86BS6
O02649,Q8INB9
O02649,Q94527
O02649,Q9GNK5
O02649,Q9V3B4
O02649,Q9V4U9
O02649,Q9VCF0
O02649,Q9VCI0
O02649,Q9VD28
O02649,Q9VEZ5
O02649,Q9VMN5
O02649,Q9VXN9
O02649,Q9XZT6
O16130,O16797
O16130,O18640
