Gene,Label
P0AD86,0
P00561,0
P00547,0
P00934,0
P75616,0
P0A8I3,0
P30143,0
P0A870,0
P0AC98,0
P75617,0
P28697,0
P28696,0
P0CF91,0
P33236,0
P13738,0
P0A9G2,0
P0CF25,0
P75620,0
P0AG40,1
P00804,1
P0AEM0,0
P62623,1
P22564,0
P04036,1
P0A6F1,0
P00968,0
P0AE58,0
P39206,0
P31551,0
P31552,0
P31572,0
P60584,0
P31553,0
P60566,0
P31574,0
P68644,0
P68646,0
P31679,0
P0A754,0
P03819,0
P0ABQ4,1
P05637,0
P62672,0
P06992,0
P19624,0
P0ABZ6,0
P31554,1
P31680,0
P39220,0
P60240,0
P21189,0
P08203,0
P08202,0
P08204,0
P0A9E0,0
P30149,0
P31548,0
P31549,0
P31550,0
P33595,0
P31675,0
P30126,0
P0A6A6,0
P30125,0
P09151,0
P0AD79,0
P10151,0
P00893,0
P00894,0
P0ACP1,0
P22186,0
P0AEN4,1
P0AD68,1
P22188,1
P14900,1
P0ABG4,1
P17443,1
P17952,1
P06136,1
P0ABH0,1
P0A9A6,1
P0A725,1
P62395,1
P10408,1
P08337,0
P0A8H8,0
P36680,0
P60560,0
P36646,0
P36645,0
P36647,0
P30011,0
P13016,0
P0AE14,0
P15993,0
P0ACL9,0
P0AFG8,0
P36682,0
P36683,0
P0A8E5,0
P0A7F6,0
P09158,0
P36649,0
P15877,0
P0A9M2,0
P61517,1
P36879,0
P0AFN6,0
P31666,0
P0A790,0
P31665,0
P31663,0
P31057,0
P31058,0
P37016,0
P37017,0
P37018,0
P33129,0
P33128,0
P37050,0
P26281,1
P0ABF1,0
P27305,0
P0ABS1,0
P0A823,0
P37025,0
P37024,0
P02919,0
P06971,0
P07821,0
P07822,0
P06972,0
P23893,1
P37019,0
P0AFP0,0
P37028,0
P15723,0
P0C0V0,0
P37047,0
P62768,0
P37049,0
P0A9D8,1
P0AE18,1
P0A7V0,1
P0A6P1,1
P0A7E9,1
P0A805,1
P45568,1
P60472,1
P0ABG1,1
P0A940,1
P0AEU7,0
P21645,1
P0A6Q6,1
P0A722,1
P10441,1
P10443,1
P0ABD5,1
P52095,0
P52096,0
P52097,1
P0AFW8,0
P0AA97,0
P40711,0
P40710,0
P37056,0
P16659,1
P28634,0
P69411,0
P28635,0
P31547,0
P30750,0
P63228,0
P30863,0
P0A8U2,0
P0AEZ7,0
P0AC84,0
P75672,0
P77339,0
P77354,0
Q47679,0
P0AD59,0
Q47146,0
P63224,0
Q47147,0
P0AA99,0
Q47149,0
Q47150,0
Q47151,0
Q47152,0
Q47153,0
Q47154,0
Q47155,0
Q47156,0
Q47157,0
Q47158,0
P75675,0
P28369,0
P15288,0
P0A9M5,0
P04335,0
P24251,0
P02932,0
P0A7B5,0
P07004,0
Q47684,0
Q47685,0
P75676,0
P75677,0
P77162,0
P77365,0
P77206,0
P75678,0
Q57083,0
P75679,0
P0CF88,0
P75680,0
Q47688,0
P0CE49,0
Q47689,0
Q47690,0
P37009,0
P75681,0
P0CF26,0
P0CF08,1
P37008,0
P37007,0
P75682,0
P77596,0
P77300,0
P06960,0
P0CF27,0
P77169,0
P77657,0
P77607,0
P71296,0
P71297,0
P71298,0
P77183,0
P77489,0
P77165,0
P0AAA1,0
P0AAL9,0
P77694,0
P77802,0
P77188,0
P0AAA3,0
P71301,0
P56257,0
P0A7N1,0
P36943,0
P0CF79,0
P77601,0
P75685,0
P75687,0
P77212,0
P77379,0
P77252,0
P77536,0
P77433,0
P77180,0
P17444,0
P17445,0
P17446,0
P0ABC9,0
P21514,0
P77700,0
P77219,0
P77736,0
P77297,0
P77221,0
P77624,0
P77554,0
P75691,0
P77393,0
P75692,0
P75693,0
P75694,0
P77743,0
P77541,0
P31660,0
P77243,0
P77495,0
P0AA82,0
P25524,0
P27111,0
P0ABE9,0
P17583,0
P07464,0
P02920,0
P00722,0
P03023,0
P77569,0
P77397,0
P0ABR9,0
P77044,0
P77608,0
P77580,0
P51020,0
P77589,0
P51024,0
P51025,0
P25437,0
Q47534,0
P0CF40,0
Q47536,0
Q47537,0
Q47538,0
Q47539,0
P37610,0
P0ACB2,1
P0AAP5,0
P0AD70,0
P0AFY6,0
P77562,0
P0AAQ0,0
P0A6J8,0
P0AAN9,0
P00634,0
P0AFM4,0
P0AAP1,0
P0A8D3,0
P0A6E1,0
P0AAN5,0
P0AE28,0
P0C037,0
P75704,0
P23917,0
P23910,0
P13458,0
P0AG76,0
P0AFJ5,0
P08400,0
P0AD99,0
P0AAE2,0
P21517,0
P21515,0
P0A7F9,0
P0A847,0
P0ADZ7,0
P0AG90,1
P0AG93,1
P0AAQ2,0
P0A927,0
P46122,0
P0A8D0,0
P25539,1
P61714,1
P0AGG0,1
P77735,0
P77488,1
P22939,1
P0A8G9,0
P77718,0
Q46948,0
P0A9J4,0
P0A8E7,0
P77726,0
P0AEA5,0
P0ABJ3,0
P0ABI8,0
P0ABJ1,0
P0AE16,0
P0ADA5,0
P0ABE2,0
P0A850,0
P0A6G7,0
P0A6H1,0
P0A9M0,0
P0ACF4,0
P0ADY1,0
P77712,0
P77756,0
P46890,0
P46891,0
P0ACJ5,0
P77265,0
P0AAG5,0
P0AC55,0
P69681,0
P0AGG2,0
P77717,0
P0AFP2,0
P77473,0
P0AAS0,0
P77791,0
P0ACE3,0
P0AAR0,0
P31224,0
P0AE06,0
P0ACS9,0
P77338,0
P45807,0
P06710,1
P0A8B5,0
P0A6Z3,0
P69441,1
P23871,1
P23872,0
P0AEW6,0
P39830,0
P52067,0
P07024,0
P0AAR3,0
Q59385,0
P77454,0
P77400,0
P0A9G4,0
P0AAS3,0
P0AA53,0
P77279,0
P77307,0
P77395,0
P0AFP4,0
P0ADA1,0
P0A9T8,0
P77504,0
P16919,0
P77759,0
P33669,0
P77688,0
P33667,0
P0ACR0,0
P0ACN4,0
P0AEP7,0
P30147,0
P77161,0
P75711,0
P75712,0
P77671,0
P77328,0
P77364,0
P75713,0
P77425,0
P77555,0
Q47208,0
P77129,0
P09029,0
P0AG18,0
P43341,1
P21888,1
P45570,0
P0AAS7,0
P0ABW5,0
P77249,0
P77468,0
P75715,0
P38052,0
P0AEL8,0
P24218,0
P75717,0
P0CF68,1
P0CF81,0
P75718,0
P23895,0
P77698,0
P77368,0
P77634,0
Q47270,0
Q47274,0
P0CE50,0
P21420,0
P0A9R2,0
P78285,0
P75719,0
P77330,0
P64435,0
P31062,0
P77699,0
P77460,0
P77087,0
P09169,0
P10805,0
P37325,0
P31600,0
P0AFA5,0
P77485,0
P0ACZ8,0
P77211,0
P77214,0
P77239,0
P38054,0
P24207,0
P0AAT4,0
P38489,0
P0AAT2,0
P77506,0
P77213,0
P0CF92,0
P05825,0
P13039,0
P11454,0
P26266,0
P23878,0
P23877,0
P23876,0
P24077,0
P0AEJ2,0
P10378,0
P0ADI4,0
P15047,0
P0A8Y8,0
P15078,0
P45579,0
P77806,0
P77174,0
P77216,0
P77746,0
P77202,0
P0AE08,0
P35340,0
P39177,0
P77316,0
P0AFW4,0
P21338,0
P0AE74,0
P77231,0
P0A6G5,0
P75726,0
P0A9I1,0
P69330,0
P77390,0
P77510,0
P0AEF4,0
P0ABP3,0
P37001,0
P0A972,0
P0DP63,0
P0DP64,0
P0A843,0
P60716,0
P30979,0
P60720,0
P0A8J4,0
P0AEB2,0
P10100,0
P0ABG7,1
P0AD65,1
P0AAT6,0
P52086,0
P28630,1
P0ADC1,1
P07813,1
P0AAT9,0
P77234,0
P77627,0
P77381,0
P77296,0
P77427,0
P77359,0
P77319,0
P41409,0
P0AER3,0
P37902,0
P0CE51,0
P23930,1
P0AE78,0
P0A9K3,0
P0AEI1,0
P75728,0
P22106,0
P0AF24,0
P0AF20,0
P0AF18,0
P0A759,0
P09323,0
P00962,1
P75733,0
P0A9A9,0
P0AAU7,0
P75736,0
P36938,0
P75737,0
P0AAF1,0
P24169,0
P21866,0
P21865,0
P03961,0
P03960,0
P03959,0
P0AAU2,0
P16918,0
P77779,0
P75741,0
P28916,0
P24252,0
P75742,0
P0AFP6,0
P0AAV4,0
P75745,0
P75746,0
P50465,0
P75747,0
P75748,0
P75750,0
P37909,0
P0ABH7,0
P69054,0
P0AC44,0
P0AC41,0
P07014,0
P0A836,0
P0AGE9,0
P13669,0
P54745,0
P54746,0
P0AAV0,0
P0ABU9,0
P0ABV6,0
P0A855,0
P0A912,0
P45955,0
P11458,0
P0AFK2,0
P75757,0
P0AAV6,0
P0AB91,0
P62707,0
P0A9C3,0
P0A6T3,0
P09148,0
P09147,0
P31060,0
P0A9G8,0
P0AAW9,0
P37329,0
P0AF01,0
P09833,0
P52697,0
P52696,0
P0AAV8,0
P75763,0
P75764,0
P46130,0
P12994,0
P12995,0
P12996,0
P12998,0
P12999,0
P13000,0
P75767,0
P30745,0
P0AEZ9,0
P0A738,0
P30748,0
P30749,0
P0AAC4,0
P75769,0
P0AA84,0
P0AAW1,0
P0AFP9,0
P0AFQ2,0
P0A9U1,0
P75777,0
P0ACU0,0
P25888,0
P27296,0
P30177,0
P30178,0
P0AAX3,0
P41039,0
P75779,0
P75780,0
P0AAX6,0
P75782,0
P75783,0
P10346,0
P0AEQ3,0
P0ABT2,0
P0AA67,0
P0A917,0
P75785,0
P75788,0
P0AAX8,0
P0A9U3,0
P75791,0
P75792,0
P75793,0
P75794,0
P78055,0
P12282,0
P12281,0
P37595,0
P75796,0
P75797,0
P75798,0
P75799,0
P75800,0
P75801,0
P0AAY1,0
P75804,0
P0ACA7,0
P08506,0
P0ACK5,0
P75806,0
P0AEY8,0
P0AAY4,0
P75809,0
P75810,0
P60869,0
P64439,0
P68688,0
P17117,0
P0C0U4,0
P31133,0
P31134,0
P31135,0
P0AFL1,0
P0AAZ0,0
P75817,0
P30860,0
P0AE30,0
P0AE34,0
P30859,0
P0AAF6,0
P75822,0
P75823,0
P07003,0
P75824,0
P75825,0
P75826,0
P60844,0
P75828,0
P75829,0
P75830,0
P75831,0
P0A968,0
P0ABH9,0
P69222,1
P0A8P1,0
P0A9P4,0
P0ACJ0,0
P0AAZ4,0
P0A8L1,1
P18775,0
P18776,0
P18777,0
P21503,0
P75835,0
P75836,0
P43340,0
P0A9N4,0
P09373,0
P0AC23,0
P75838,0
P75839,0
P23721,0
P0A6D3,0
P43674,0
P0A6Y1,0
P37443,0
P60752,1
P27300,1
P75843,0
P0AAZ7,0
P04951,1
P0AB03,0
P0AB01,0
P36566,0
P60293,1
P22524,1
P22523,1
P22525,0
P75849,0
P00509,0
P02931,0
P0A8M0,1
P18133,0
P04825,0
P0AAI1,0
P75851,0
P80645,0
P75853,0
P80644,0
P75855,0
P75856,0
P75857,0
P75858,0
P75859,0
P75860,0
P40876,0
P0A7E1,0
P75862,0
P75863,0
P75864,0
P0AFL9,0
P43671,0
P0AB10,0
P0AFW2,0
P0A6Q3,1
P75867,0
P0A8N0,0
P0AFZ5,0
P75869,0
P75870,0
P0AB12,0
P15038,0
P0A8X4,0
P0AB20,0
P75876,0
P0AB65,0
P0AB18,0
P0AAC6,0
P0ACD8,0
P19931,0
P19932,0
P26459,0
P26458,0
P07102,0
P38134,0
P0ACZ2,0
P0A932,0
P75882,0
P75883,0
P75884,0
P57998,1
P0A982,0
P0A978,0
P0AAA5,0
P52636,0
P39453,0
P38683,0
P33226,0
P33225,0
P36659,0
P36661,0
P19926,0
P0AB14,0
P0A8G6,0
P75892,0
P75893,0
P75894,0
P75895,0
P75898,0
P0ACU2,0
P09546,0
P07117,0
P0AB24,0
P31545,0
P0A9K1,0
P69432,0
P75905,0
P75906,0
P69434,0
P75908,0
P0CF82,0
P0CF69,1
Q7DFV4,0
P75910,0
P75915,0
P0AEA2,0
P0AE98,0
P52106,0
P0ABK7,0
P28307,0
P52107,0
P75917,0
P0A8D6,0
P75919,0
P75920,0
P33136,0
P62517,0
P0AB31,0
P25744,0
P0ACV0,0
P24188,0
P0A8X2,0
P75925,0
P64442,0
P40874,0
P0AB33,0
