A,B
P45985,Q59H94
Q86TC9,Q59FD9
Q04771,P49354
P23769,P29590
P15927,P40763
P84077,Q9NZ52
P61204,P53365
P61204,Q8N8M9
Q8IZH2,V9HWN7
P05067,Q92624
P51693,O75553
Q99967,P05549
Q7Z6C1,P05549
Q7Z7Q0,P55157
Q68DZ5,Q8N4Y1
P07333,P62993
P48634,P62993
O15116,O43776
P02730,Q9BWU0
P20749,Q99728
P08588,O14908
P38398,P18846
P38398,P43246
P38398,Q99728
P38398,Q3SWU9
O00192,P55291
P61457,Q5V9X9
P49810,P07384
P20807,Q8WZ42
Q59H91,P35219
Q96QZ7,P35222
P06400,Q3LIA3
Q99816,P38936
Q96F82,P49736
Q96B14,P49736
P33992,P49736
O00311,P49736
Q13416,P49736
P15927,P49736
Q9UBU7,P49736
O43823,P49736
P49736,P49736
P27694,P49736
P35244,P49736
Q53FC8,P49736
P25205,P49736
P63104,P30304
Q8NF50,P60953
W4VSQ9,P60953
Q16667,P24941
Q99708,P28749
P61296,P07199
Q00610,O14964
P17936,P02452
P10599,P02452
P15336,Q9P0T0
P15336,Q13485
Q5T8J1,U3LUI4
Q15311,P14635
P23284,P49069
P21291,P21291
P41240,P06213
P41240,P08069
Q6FH10,Q504U8
Q14190,Q53F30
P81133,Q53F30
Q8IUM7,Q53F30
Q99075,Q05516
P12004,P24522
Q92547,Q59H80
Q6NXF2,X5D2G4
P62310,P62304
U3KQK1,P62304
Q9Y4Y9,P62304
Q7Z6C1,Q546S1
Q92793,Q546S1
Q4LE64,Q59F12
Q9NPD3,Q6IPS9
Q9UFY1,Q6IPS9
Q86UP2,P29692
P35968,V9HWE0
Q86YN6,Q9UBT1
Q9HBD4,Q9UBT1
Q8TDD1,Q9UBT1
Q9UBT1,Q5QJE6
P11362,P14324
P01137,P49354
P63165,Q59FU8
Q9NZW5,P02792
P48634,P02671
Q6NXF2,P05556
P11362,O43559
P18507,Q6IAW1
P31947,P04150
O43294,P04150
P04150,O95905
Q53Y25,O60825
V9HWB4,Q9BZG8
Q6PAU8,P52292
P14672,Q9UER7
Q8IY40,O00560
Q8IY40,Q9NRD5
P39086,Q9NRD5
P39086,O00560
O60563,P28799
P49795,Q8IY73
P49795,Q8N6I9
P49795,P04899
P49795,P08754
Q9BS48,P63279
P53667,Q7RTW5
P21781,P98160
P48634,Q9UI95
P48634,Q05DA4
P48634,P46092
Q07021,P48634
P60228,P48634
P48634,V9HWJ0
P09651,P48634
P48634,P25788
Q59ES8,P48634
