A,B
Q06697,P89105
Q06697,P38439
Q06697,P38351
Q06697,Q04636
Q06697,P53064
Q06697,P32558
Q06697,P46995
Q06697,P31376
Q06697,P31385
Q06697,P39705
Q06697,P38255
Q06697,P38262
Q06697,Q01448
Q06697,P38326
Q06697,P25567
Q06697,P25644
Q06697,Q12093
Q06697,Q05471
Q06697,O94742
Q06697,P33301
Q06697,Q06406
Q06697,Q04089
Q06697,Q03388
Q06697,P39968
Q06697,P39986
Q06697,P27895
Q06697,P25302
Q06697,P38682
Q06697,P06843
Q06697,P43593
Q06697,P53192
Q06697,P07273
Q06697,P46947
Q06697,P53076
Q06697,O13539
Q06697,P40532
Q06697,P40509
Q06697,P40469
Q06697,P40565
Q06697,P47171
Q06697,O60200
Q06697,Q03957
Q06697,P36053
Q06697,P34239
Q06697,P36037
Q06697,Q07794
Q06697,P40395
Q06697,Q12509
Q06697,P35200
Q06697,Q06324
Q06697,P32344
Q06697,Q99260
Q06697,P22214
Q06697,Q06144
Q06697,Q05934
Q06697,Q06706
Q06697,Q03433
Q06697,Q03799
Q06697,P38429
Q06697,Q03530
Q06697,P47821
Q06697,P50947
Q06697,Q01722
Q06697,P22579
Q06697,Q12692
Q06697,Q08179
Q06697,Q08231
Q06697,P32480
Q06697,Q08496
Q06697,Q12234
Q06697,Q08749
Q06697,Q12420
Q06697,P06776
Q06697,P39073
Q06697,P33300
Q06697,Q12051
Q06697,Q08923
Q06697,Q06821
Q06697,Q12030
Q06697,P04050
Q06697,P32585
Q06697,P31384
Q06697,P19659
Q06697,P17629
Q06697,P41896
Q06697,P27692
Q06697,P29055
Q06697,P08518
Q06697,P13393
Q06697,Q07478
Q06697,O13297
Q06697,P38123
Q06697,Q03012
Q06697,P39706
Q06697,Q03254
Q06697,Q06337
Q06697,P38806
Q06697,P38915
Q06697,P06844
Q06697,P15790
Q06697,P39015
Q06697,Q02821
Q06697,P15108
Q06697,P32473
Q06697,P16639
Q06697,P53228
Q06697,Q03330
Q06697,P47176
Q06697,P19454
Q06697,Q12676
Q06697,P53540
Q06697,Q12242
Q06697,P38687
Q06697,P43639
Q06697,P38930
Q06697,P07270
Q06697,P53617
Q06697,P46962
Q06697,P33441
Q06697,P00445
Q06697,P25357
Q06697,P53930
Q06697,Q12321
Q06697,P19158
Q06697,P43573
Q06697,P32479
Q06697,Q03010
Q06697,P39009
Q06697,P05375
Q06697,Q01476
Q06697,P36124
Q06697,P39702
Q06697,P40202
Q06697,P16387
Q06697,P34756
Q06697,P40340
Q06697,P40154
Q06697,P38305
Q06697,P32561
Q06697,Q04632
Q06697,P39960
Q06697,P32591
Q06697,P53299
Q06697,P32341
Q06697,P53741
Q06697,P46944
Q06697,P18480
Q06697,P32829
Q06697,P53236
Q06697,P40356
Q06697,P38633
Q06697,P32914
Q06697,Q01477
Q06697,P40164
Q06697,P25343
Q06697,P40056
Q06697,Q05543
Q06697,Q04149
Q06697,P38257
Q06697,P21965
Q06697,P32807
Q06697,P47050
Q06697,P32445
Q06697,P13712
Q06697,P40072
Q06697,Q03162
Q06697,P53246
Q06697,P36017
Q06697,Q04437
Q06697,P48562
Q06697,P50108
Q06697,P32828
Q06697,Q12020
Q06697,P32345
Q06697,P53114
Q06697,P46674
Q06697,P11632
Q06697,P47017
Q06697,P22147
Q06697,Q01454
Q06697,Q12223
Q06697,Q06164
Q06697,P25364
Q06697,Q06211
Q06697,P38236
Q06697,P07347
Q06697,P32447
Q06697,Q08949
Q06697,Q04003
Q06697,P36123
Q06697,P48606
Q06697,Q12161
Q06697,P35187
Q06697,P50102
Q06697,P32657
Q06697,Q12241
Q06697,P20433
Q06697,P15873
Q06697,P43132
Q06697,P13902
Q06697,Q04493
Q06697,P34223
Q06697,Q02796
Q06697,Q08562
Q06697,Q07457
Q06697,P38319
Q06697,P38956
Q06697,P38348
Q06697,P24871
Q06697,P41835
Q06697,P53685
Q06697,Q05949
Q06697,P40084
Q06697,P32522
Q06697,P25039
Q06697,Q05775
Q06697,P32499
Q06697,Q04175
Q06697,Q03375
Q06697,P38181
Q06697,P38278
Q06697,Q02793
Q06697,P53096
Q06697,P35729
Q06697,P14741
Q06697,P40561
Q06697,Q04299
Q06697,P38011
Q06697,P34160
Q06697,P32843
Q06697,P53849
Q06697,Q08963
Q06697,Q01560
Q06697,P53072
Q06697,P53123
Q06697,P25339
Q06697,P22438
Q06697,P36038
Q06697,P34078
Q06697,P36102
Q06697,P36168
Q06697,P25038
Q06697,Q08492
Q06697,P02992
Q06697,P25270
Q06697,P06778
Q06697,Q03656
Q06697,P32048
Q06697,P33308
Q06697,P15179
Q06697,P32580
Q06697,Q12089
Q06697,P08593
Q06697,P25617
Q06697,Q05942
Q06697,Q05166
Q06697,P50106
Q06697,P53080
Q06697,P53251
Q06697,Q99177
Q06697,P40069
Q06697,Q12400
Q06697,P20081
Q06697,P38768
Q06697,P32797
Q06697,P31539
Q06697,P33416
Q06697,P10592
Q06697,P10591
Q06697,P11484
Q06697,P38811
Q06697,P40554
Q06697,P38820
Q06697,P06779
Q06697,P17157
Q06697,P32505
Q06697,P18409
Q06697,P38263
Q06697,Q3E7B6
Q06697,P16120
Q06697,Q02774
Q06697,Q12368
Q06697,Q99190
Q06697,Q03195
Q06697,Q03770
Q06697,P39081
Q06697,P39010
Q06697,P24276
Q06697,Q06668
Q06697,P49018
Q06697,Q04406
Q06697,Q04430
Q06697,P32611
Q06697,P28263
Q06697,P40005
Q06697,P33767
Q06697,P24384
Q06697,P10869
Q06697,P39525
Q06697,P40070
Q06697,P40094
Q06697,P34077
Q06697,P43588
Q06697,P32496
Q06697,P53146
Q06697,P21827
Q06697,P53168
Q06697,P05373
Q06697,P05030
Q06697,P53045
Q06697,P38707
Q06697,P38771
Q06697,P40492
Q06697,P40505
Q06697,P40572
Q06697,P08525
Q06697,P08018
Q06697,P47026
Q06697,P35127
Q06697,P36107
Q06697,P36161
Q06697,P46675
Q06697,P32485
Q06697,Q06541
Q06697,P23776
Q06697,P40039
Q06697,P35190
Q06697,P69771
Q06697,Q03104
Q06697,P54787
Q06697,Q04472
Q06697,Q01649
Q06697,P48524
Q06697,P53938
Q06697,P53973
Q06697,Q92328
Q06697,Q12382
Q06697,Q03028
Q06697,Q02889
Q06697,Q03067
Q06697,Q06623
Q06697,P17883
Q06697,Q12746
Q06697,Q04751
Q06697,Q04477
Q06697,Q02795
Q06697,P11745
Q06697,P11938
Q06697,P39006
Q06697,P28000
Q06697,P53632
Q06697,P38523
Q06697,P53549
Q06697,P29295
Q06697,P20053
Q06697,P12612
Q06697,Q12386
Q06697,Q04781
Q06697,P23615
Q06697,P16649
Q06697,Q08465
Q06697,P38246
Q06697,Q03435
Q06697,P16664
Q06697,P52918
Q06697,P38736
Q06697,P09959
Q06697,Q06005
Q06697,Q06162
Q06697,Q03792
Q06697,P48565
Q06697,Q12149
Q06697,Q99234
Q06697,P16521
Q06697,P00549
Q06697,P00330
Q06697,P26793
Q06697,P12945
Q06697,P22216
Q06697,P10862
Q06697,Q04868
Q06697,Q02884
Q06697,Q02908
Q06697,P53320
Q06697,Q00772
Q06697,Q03940
Q06697,Q12464
Q06697,Q04748
Q06697,Q04779
Q06697,Q04740
Q06697,Q08278
Q06697,P38304
Q06697,P00546
Q06697,P42949
Q06697,P40319
Q06697,P09119
Q06697,P41806
Q06697,P53893
Q06697,Q07953
Q06697,P17214
Q06697,P47069
Q06697,P25293
Q06697,Q08032
Q06697,Q12328
Q06697,P32471
Q06697,P28005
Q06697,Q01329
Q06697,P35194
Q06697,P38208
Q06697,P29469
Q06697,P38198
Q06697,P32357
Q06697,P38061
Q06697,P38170
Q06697,P00817
Q06697,P19735
Q06697,Q3E790
Q06697,P32367
Q06697,P18963
Q06697,P38291
Q06697,P38127
Q06697,P12709
Q06697,P38313
Q06697,P38333
Q06697,P38334
Q06697,P38342
Q06697,P25374
Q06697,P25655
Q06697,P40327
Q06697,Q12157
Q06697,P06243
Q06697,P25386
Q06697,Q07508
Q06697,Q12277
Q06697,P25694
Q06697,Q99207
Q06697,P38968
Q06697,Q07688
Q06697,P41920
Q06697,Q12488
Q06697,P11353
Q06697,Q04307
Q06697,P32347
Q06697,P00942
Q06697,P38960
Q06697,Q02775
Q06697,Q04601
Q06697,Q03761
Q06697,P02293
Q06697,P41810
Q06697,P23394
Q06697,Q05583
Q06697,P32916
Q06697,Q06636
Q06697,P32776
Q06697,Q06680
Q06697,Q05498
Q06697,Q06346
Q06697,Q06389
Q06697,Q12159
Q06697,P34087
Q06697,Q04067
Q06697,P28791
Q06697,Q04377
Q06697,Q12306
Q06697,P38632
Q06697,P23301
Q06697,P38628
Q06697,P22141
Q06697,P40014
Q06697,P40016
Q06697,P32569
Q06697,P32263
Q06697,P32481
Q06697,P39940
Q06697,P25808
Q06697,P07560
Q06697,P32908
Q06697,P07834
Q06697,P15625
Q06697,P43563
Q06697,P02557
Q06697,P01123
Q06697,P43609
Q06697,P43621
Q06697,P53199
Q06697,P39007
Q06697,P25299
Q06697,Q01939
Q06697,P53148
