A,B
P00907,P00968
P0A6F5,P04273
P07622,P02928
P21891,P0A8P6
P0AB67,P07001
P13458,P03702
P03702,P08394
P11191,P08394
P15027,P0A7H6
P15027,P02339
P25798,P0ABZ1
P0ABZ1,P09120
P15070,P06974
P00824,P00822
P00837,P00832
P00822,P00831
P00831,P00824
P00837,P00831
P00831,P00832
P06974,P06974
P0ABZ1,P06974
P24169,P02378
P24169,P0A7P5
P15027,P03016
P03033,P03033
P21156,P23845
P11458,P10902
P09159,P09159
P07459,P07459
P07460,P07460
P07459,P07460
P77173,P06138
P0A879,P00928
P00822,P00837
P68699,P00837
P00837,P00824
P00831,P68699
P39180,P39180
P06864,P0AC73
P23721,P23721
P25437,P25437
P17547,P17547
P19926,P19926
P00561,P00561
P10177,P10177
P28629,P28629
P0AE67,P07363
P00479,P00478
P68699,P00855
P08837,P07006
P02997,P0CE47
P00274,P0A9P4
P43529,P43528
P15319,P42190
P09372,P04475
P0A6F5,P25845
P00575,P00574
P00887,P0A6F5
P25665,P0A6F5
P0A6F5,P0AEZ1
P04384,P0A6F5
P0A6F5,P09151
P0A6J5,P0A6F5
P80063,P0A6F5
P0A6F5,P0A9P0
P37190,P0A6F5
P37191,P0A6F5
P37192,P0A6F5
P08324,P0A6F5
P0A6F5,P06977
P0A6F5,P0AF24
P0A6F5,P39184
P0A6F5,P37747
P14374,P0A6F5
P0A6F5,P21155
P0A6F5,P00479
P25532,P0A6F5
P0A6F5,P76422
P0A6F5,P30139
P0A6F5,P30140
P0A6F5,P12998
P0A6F5,P00575
P0A6F5,P08374
P0A6F5,P02392
P0A6F5,P02418
P0A7V0,P0A6F5
P0A6F5,P08312
P0A6F5,P07395
P0A6F5,P00961
P00955,P0A6F5
P03003,P0A6F5
P0A6F5,P16921
P25663,P0A6F5
P09097,P0A6F5
P0A6F5,P39407
P11028,P00574
P0ACN7,P03020
P0ACN7,P0ACN7
P0A6F5,P0CE47
P00893,P0A6F5
P00574,P0A6F5
P0A6F5,P07913
P0A6F5,P33138
P0A6F5,P09372
P0A6F5,P18197
P0A6F5,P07655
P0A6F5,P23887
P0A6F5,P23306
P0ACB0,P16525
P03017,P0A6F5
P06138,P0AFZ5
P18196,P18197
P31223,P31223
P30855,P30854
P0A9I3,P0A9F6
P03032,P03032
P06996,P06996
P0AEF0,P0AEF0
P00575,P00577
P03020,P03020
P08756,P06984
P25528,P36539
P39171,P77310
P06993,P23872
P10408,P10408
P03844,P10408
P15040,P15040
P22763,P0AE67
P52094,P0AEU0
P06609,P06609
P0ACQ4,P0ACQ4
P19934,P45955
P41069,P41066
P41066,P41067
P18197,P18197
P09184,P23367
P36658,P36658
O85626,O85626
P00968,P00968
P18196,P18196
P02914,P07622
P02916,P02914
P23909,P23909
P09097,P33012
P06982,P33012
P07008,P07007
P00903,P05041
P15040,P10408
P04381,P02364
P33927,P69490
P33927,P33925
P69428,O69415
P0AFX9,P38106
P0AGB6,P38106
P0AFX9,P0AGB6
P78055,P78055
P30148,P30148
P0AFG8,P0AFG8
P24182,P24182
P16920,P03844
P03844,P33582
P16920,P16920
P00816,P00816
P00583,P00583
P19245,P19245
P0A6F5,P0A6F5
P09986,P10089
P09983,P09986
P10089,P09983
P09986,P09986
P09986,P02930
P02930,P02930
P37905,P37905
P48838,P48838
P02980,P02980
P13738,P13738
P0ACB0,P0ACB0
P0AEF0,P0ACB0
P02920,P02920
P77310,P36540
P77310,P36541
P39171,P25528
P39171,P16070
P36541,P36539
P36541,P25528
P07604,P07604
P23875,P23875
P09743,P09743
P0AB80,P0AB80
P0A9D4,P0A9D4
P07464,P07464
P0A9C5,P0A9C5
P39099,P39099
P03017,P03017
P03002,P03002
Q04230,Q04230
P08577,P08577
P02932,P02932
P02943,P02943
P02931,P19934
P0ABU9,P05829
P05829,P05829
P05825,P05825
P03004,P0ACB0
P04995,P02339
P02339,P02339
P18783,P18784
P05833,P03004
Q47523,P03004
P0ACB0,P07696
P02923,P0ACB0
P21513,P24229
P21513,P21513
P21513,P08324
P08324,P08324
P04475,P21513
P05055,P24229
P05055,P04475
P28304,P28304
P02901,P02901
P23485,P13036
P23485,P23484
P11666,P11666
P03815,P03815
P14926,P14926
P27245,P27245
P42589,P42589
P0AG18,P0AG18
P07016,P07016
P0AGG2,P0AGG2
P03020,P00574
P0A6F9,P0A6F5
P0A6F9,P0A6F9
P10485,P10484
P30749,P30749
Q46731,Q46731
P0ACR9,P0ACR9
P12281,P12281
P32173,P32173
P09148,P09148
P25520,P78083
P0A6C8,P0A6C8
P77444,P77444
P06721,P06721
P23256,P23256
P06993,P06993
P11989,P00577
P11989,P11989
P08722,P08722
P04153,P03017
P03017,P03034
P03033,P03017
P04153,P04153
P04152,P04153
P24229,P24229
P0AG20,P0AG20
P06720,P23872
P06720,P06720
P08867,P08867
P06974,P0AE67
P07017,P07017
P33582,P10408
P33582,P33582
P06136,P10408
P03844,P06136
P06136,P25714
P25714,P03623
P03623,P07019
P0AE67,P0A9H9
P11028,P11028
P06137,P06138
P03018,P23367
P22523,P22523
P36541,P36540
P05055,P08324
P11989,P08722
P08866,P08867
P06138,P06138
P02931,P02931
P0A9G8,P0A9G8
P06137,P06137
P0A9T0,P0A9T0
