Gene,Label
O43657,0
Q9H2S6,0
O60762,0
Q8IZE3,0
Q9NSG2,0
P09769,0
P08603,0
Q9BTY2,0
P48506,1
P23511,1
Q5TH74,0
Q6P499,0
Q9Y4W2,1
Q9Y6X5,0
Q13275,0
P13569,0
Q9P2G1,0
Q16850,0
O00522,0
P43351,0
Q92934,0
P28838,0
P14209,0
O14792,0
P19801,0
Q9UBV4,0
Q76N89,0
Q9Y6D9,0
Q14847,0
Q9Y5W9,0
Q96HP8,0
P20645,0
Q9P2N7,0
Q9NR63,0
Q05084,0
Q9H9R9,0
Q92851,0
O15519,0
P10646,0
Q7L592,0
P52756,0
Q9Y216,0
P52569,0
P84085,0
Q6SZW1,0
Q9Y4D7,0
P54819,1
P28907,0
Q02790,0
O60341,0
P78332,0
Q8N5S9,0
P46063,0
Q96JG6,0
O14558,0
O14559,0
O14561,1
Q16654,0
Q86VW1,0
O75800,0
Q2M3G0,0
Q96QS3,0
Q9UJS0,0
Q9NRC1,0
P30260,1
P02730,0
P30988,0
P53701,0
O14641,0
Q9GZN4,0
Q92900,1
O75563,0
P05141,0
Q9NWR8,0
P31270,0
P52435,1
Q9H6R0,1
P50221,0
Q9UPZ6,0
P49916,0
Q9H6T3,0
Q53FZ2,0
Q96IC2,0
Q6FI81,1
Q8TCT7,1
Q7L5A3,0
Q9P299,0
P31323,0
Q8N5Y2,0
Q92793,1
O95153,0
P05164,0
P27169,0
P16383,0
Q9H977,0
Q9UKG9,0
P21439,0
Q8IZD2,0
Q6NTF9,0
P57073,0
Q9P2D0,0
O14628,0
O75592,0
Q9UKT7,0
P20701,0
Q15119,0
P26006,0
P17010,0
P13473,0
P08514,0
Q9Y574,0
Q9NZC3,0
Q96EN9,0
O75462,0
Q9BZF2,0
Q9Y2Y6,0
Q9Y2T7,0
O76009,0
Q99558,0
Q09428,0
O60359,0
Q24JP5,0
P63010,0
P20366,0
O14978,0
P78423,0
Q8TB22,0
O43497,0
Q9NP84,0
P56179,0
P80192,0
P11233,0
Q9UHR4,0
Q6ZMT4,0
P50549,0
Q53H12,0
Q5TAA0,0
Q8N3S3,0
Q9Y258,0
O94887,0
Q9Y6N9,0
O75223,0
Q9UBU7,0
P21731,0
O00458,0
Q8TCE9,0
Q12887,1
Q9UHL9,0
Q8N7H5,1
P49754,0
Q17R89,0
Q9BQ52,1
Q9Y6U3,0
P51689,0
P41247,0
Q9UKX3,0
Q86V24,0
Q8IVW4,0
O95045,0
Q9Y6M0,0
Q96L34,0
O43490,0
Q96CT7,0
Q3KPI0,0
P43034,1
P35228,0
Q9NYC9,0
Q14667,0
Q13183,0
O60861,0
O75865,0
P42679,0
Q14002,0
P40259,0
P35499,0
Q8TDW4,0
P51854,0
P26367,0
Q9UJJ7,0
Q96CC6,0
Q9NQ29,0
Q9NY47,0
O94812,0
Q9UJK0,0
Q9BRB3,0
Q96RY5,0
Q99594,0
P16581,0
Q9NVH1,1
P31513,0
Q8WY64,0
Q9Y5S8,0
Q14209,0
P20618,1
P17600,0
Q92833,0
O76039,0
Q96NX5,0
Q9UQ88,0
O95544,0
Q92481,0
Q7Z6R9,0
Q9Y238,0
O43739,0
Q9P0K1,0
Q16563,0
P49447,0
O60271,0
Q9NYQ7,0
Q9UDR5,0
Q3KR16,0
Q9UHA2,1
Q8N594,0
P10620,0
Q16526,0
O75594,0
Q14938,0
Q11201,0
Q9NPA2,0
P24001,0
P98161,0
Q13387,0
O75448,0
Q9BYZ6,0
Q9P2D3,0
Q99442,0
P60866,1
O75534,1
Q15386,0
O60673,1
