Protein
A0A023PXF5|Q3E7Y4
A0A023T695|A0A024RA87|A8K3D0|B4DNE4|G3V1Q4|Q16181
A0A024QYV7|Q15041
A0A024QYX8|P42768
A0A024QZ19|A0A024QZ59|Q9BUZ4
A0A024QZ20|Q13164
A0A024QZA9|O14874
A0A024QZF1|P37198
A0A024QZI1|B4DY71|F8WEC7|Q8WTR7
A0A024QZJ2|A0A087WW00|P51668
A0A024QZJ8|B7Z3D6|I6L9I5|P06493
A0A024QZM6|P53992
A0A024QZS1|O96007|O96033
A0A024QZU0|Q13546
A0A024QZV0|Q8NBS9
A0A024QZY1|A8MU58|Q13155
A0A024QZY4|O00635
A0A024R058|A0A0A0MR98|O95544|Q6PJ22
A0A024R0L6|Q15102
A0A024R0N2|Q9UJW9
A0A024R0V4|P50552
A0A024R0Y2|Q13085|Q7Z5W8
A0A024R0Y4|A0A087WWR4|B3KU13|O75478
A0A024R110|Q15038
A0A024R120|Q12800
A0A024R125|P54619
A0A024R184|Q9H553
A0A024R1A3|P22314
A0A024R1A4|P68036
A0A024R1F0|P17861
A0A024R1K0|Q9NRA8
A0A024R1K8|Q15459
A0A024R1N4|B1AHC9|B4DE32|B4E356|P12956
A0A024R1S8|B4DIC4|Q14847
A0A024R1T9|A0A024R1Y2|P53396|Q4LE36
A0A024R1U0|P46060|Q9BSK3
A0A024R1V0|P38398
A0A024R1V3|B7Z5R6|Q14596
A0A024R1X3|Q9BRG1
A0A024R203|B3KQ25|P61289|Q6MZZ1|V9HWJ8
A0A024R231|Q9Y2T3
A0A024R258|Q9UMX0
A0A024R281|A0A024R2A4|B7Z2P9|B7Z6K0|Q96PU5
A0A024R292|K7ERC8|Q06136
A0A024R294|Q96BD8
A0A024R2C5|O75351
A0A024R2F2|A0A0S2Z4I2|A0A0S2Z4K1|P40337
A0A024R2G5|A0A0S2Z4L5|L7RRS6|P04049
A0A024R2K3|B7Z306|P51965
A0A024R2L6|A0A0C4DG17|P08865
A0A024R2S5|O95376|Q53ET9|Q6IBL8
A0A024R2S9|P40692|Q59EG3
A0A024R2U4|A0A024R307|Q8WXE1
A0A024R2W1|A0A024R324|B4DKN9|C9JRM1|C9JX21|P61586|Q9BVT0
A0A024R2W4|Q14118
A0A024R353|B4DVA0|P13196|Q5JAM2
A0A024R384|P02686
A0A024R3C7|Q13315
A0A024R3E4|K0KVU2|P46937|Q86T74
A0A024R3G7|Q9H0K1
A0A024R3Q0|P84077
A0A024R3S0|B2R4P9|P84243
A0A024R3T8|P09874
A0A024R3V5|A0A024R3V7|Q9GZT8
A0A024R3V8|Q99598
A0A024R3W0|A0A024R3X4|P10809
A0A024R3W7|P24534
A0A024R3X9|Q9Y3A3
A0A024R3Z2|P63165
A0A024R3Z4|Q9UKS7
A0A024R3Z8|Q14790
A0A024R443|B7Z7F0|E5RIA4|E7ETB3|Q9ULA0
A0A024R4E1|B1AN62|Q9HAN9
A0A024R4E2|Q13148|Q9H256
A0A024R4Q5|P0C1Z6
A0A024R4Q9|Q9BX82
A0A024R4T4|P61081
A0A024R4V3|Q9NWS6
A0A024R539|A0A024R598|A0A087WTZ5|Q04323
A0A024R540|A0A024R549|Q96G97
A0A024R562|Q92934
A0A024R5C4|O95197
A0A024R5E5|Q13488
A0A024R5F3|H7BXH2|Q5H9R7
A0A024R5G1|O95967|Q9H3D5
A0A024R5L2|Q96HD9
A0A024R5M3|Q14247|Q53HG7
A0A024R5M9|Q14980|Q3SYK8|Q4LE64
A0A024R5P0|Q13153
A0A024R5T5|Q6ZNA4
A0A024R5U3|H3BMD8|P56211
A0A024R5Z7|P07355
A0A024R5Z9|B4DNK4|P14618|V9HWB8
A0A024R6G5|P56279
A0A024R6N2|Q86XZ8|Q9Y5S2
A0A024R6P0|P01011
A0A024R6P3|Q9BXL8
A0A024R6U3|O75208
A0A024R6W2|O43809
A0A024R6Y2|P61970
A0A024R711|B4DHF6|O00308
A0A024R755|B3KQF5|O43852|Q6IAW5
A0A024R776|A0A024R781|A0A024R785|O95628
A0A024R7B7|Q16543
A0A024R7C0|Q14145
A0A024R7D0|A0A024R7E9|P49366
A0A024R7D7|K7EME3|K7ER43|Q59EH4|Q9BUY5
A0A024R7G4|Q9NVP2
A0A024R7G8|A8K1J3|P54725
A0A024R7H3|B4DUE8|G8JLM4|Q8N6Y0|Q8N8Y1
A0A024R7J0|A8K8B9|P17612
A0A024R7M2|Q9BQD3
A0A024R7R0|Q96RL1
A0A024R7W9|Q92905
A0A024R7X0|Q9Y6D6
A0A024R7Y9|P61925
A0A024R843|Q13049
A0A024R896|B7ZC38|Q9NR46
A0A024R8C7|Q9BTM9
A0A024R8F1|Q9H257
A0A024R8L1|Q969T9
A0A024R8S3|P61956
A0A024R8V6|Q9P275
A0A024R8Y2|P14859
A0A024R938|P30041|V9HWC7
A0A024R962|A0A0D9SG88|P08603
A0A024R9C1|P11940
A0A024R9E4|Q969L2
A0A024R9R7|Q9ULG1
A0A024RA42|Q9Y6E2
A0A024RA77|Q9BSE4
A0A024RAC5|A0A384NYY6|Q9P258
A0A024RAJ5|A0A2R8Y7C5|Q9Y5P4
A0A024RAM0|Q92973
A0A024RAW9|Q9Y2W2
A0A024RAY2|P05783
A0A024RAZ1|Q9P1Z2
A0A024RB10|A0A024RB77|B4DDL9|E7ESI2|G3V5T9|P24941
A0A024RB33|Q9H4P4
A0A024RB38|Q96MF2
A0A024RBB6|P11802
A0A024RBD8|B2RDX7|B3KTL6|F8VUB4|F8VV52|Q9NZN8
A0A024RBN1|Q9Y478
A0A024RBR3|O43583
A0A024RBT2|A0A0S2Z5P6|A0A0S2Z5U7|K7X1S0|Q502X2|Q9NR28
A0A024RBU0|Q9H9H4
A0A024RBU4|O96006
A0A024RC00|Q9NRF8
A0A024RC12|P43358
A0A024RC17|P43356
A0A024RC24|Q9P2X3
A0A024RC34|Q99708
A0A024RC49|O75928|Q2TA77
A0A024RC65|P46940
A0A024RCP5|A0A024RCR1|Q9HCM9
A0A024RCQ4|Q99942
A0A024RCY2|B1AKB6|Q99750
A0A024RD22|P23511
A0A024RD58|O15217
A0A024RD80|B4DGL0|P08238|Q6PK50
A0A024RDH2|D6RAH7|P61077
A0A024RDL6|A0A0A0MSJ3|A8K3R3|B3KMF1|Q9UJ41
A0A024RDP8|B3KUK7|Q9BW62
A0A024RDV7|O00505
A0A024RDV8|A0A087X0H8|A8K3Y6|Q15714
A0A024RDY7|Q9NPJ6
A0A024RDY9|B7Z344|B7Z6G2|E9PDQ5|Q14155|Q5W9H1
A0A024RE22|Q9Y2W7
A0A075B749|A0A087WYE4|Q5VU43
A0A075B7B5|B4DFE5|B7Z3G4|B7ZM87|O75044
A0A075DDR2|Q96HT8
A0A087WNW3|A0A087WP14|A0A087WP48|A0A087WP85|A0A087WPW5|A0A087WPX0|A0A087WQ25|A0A087WQD0|A0A087WQF8|A0A087WQG4|A0A087WQI3|A0A087WQQ5|A0A087WRS1|A0A087WS04|A0A087WS23|A0A087WS29|F8VQC7|Q61595
A0A087WT22|A0A087WXZ1|A0A087X1Q1|H2EHT1|K7PPA8|P04637|Q53GA5
A0A087WVQ6|Q00610
A0A087WW40|A0A140VJU5|Q9Y371
A0A087WWM0|A0A087WYS5|O43617
A0A087WWU8|A0A0S2Z4G4|A0A0S2Z4I4|B4DQ80|P06753
A0A087WX59|Q16186
A0A087WXF8|A0A087WXU5|A0A087WYF0|A0A087WYV3|A0A0D9SEW3|B4DYA9|Q9NP64
A0A087WYM1|A0A0S2Z3H1|D3DXD9|P42575
A0A087WYP9|A0A0S2Z5U8|A6NFV8|D6RJC6|Q96EV8
A0A087X0H2|O95073|Q9Y620
A0A087X159|P81877
A0A087X1B1|Q9Y6K9
A0A087X2I1|P62333
A0A090N7U0|B3KTW0|Q13616
A0A090N8G0|P41250
A0A090N8N3|B3KQE6|Q9UDV6
A0A090N8Q5|H3BM14|H3BM74|Q9Y5A7
A0A096LP07|A0A096LPJ3|C9JFE4|Q13098
A0A097BVJ5|P13233
A0A0A0MQS1|B4DGI7|Q53H96
A0A0A0MR33|A0A0C4DFM0|O43708
A0A0A0MR50|Q13619
A0A0A0MRG2|A0A140VJC8|B4DGD0|B4DJT9|E9PG40|P05067
A0A0A0MRZ4|A8K4N4|B7Z8K2|Q15025
A0A0A0MS38|C9JQV6|P54252
A0A0A0MS70|A0A0A0MSI9|A0A3B3ITY3|A0A3F2YP85|H0Y4G9|Q99836
A0A0A0MSI2|Q8IXK0
A0A0B4J1R9|Q8N0S2
A0A0B4J294|H3BQQ8|H3BUK6|Q9UL33
A0A0B6VHM4|P12978
A0A0B7P3V8
A0A0C4DFM5|B4DT68|Q9UBF9
A0A0C4DFP7|A0A3B0J271|Q9BXJ1
A0A0C4DFZ6|Q9H972
A0A0C4DG21|B7Z836|E9PEZ7|F8WAL6|Q9NYB9
A0A0K0K1K7|O95336
A0A0K0K1L8|Q06323|Q86SZ9
A0A0R4J0U3|O54943|Q3TW41|Q8C8R0
A0A0S2A4E4|P35573
A0A0S2Z391|Q16611
A0A0S2Z3E1|P20807
A0A0S2Z3G5|A0A0S2Z3Z5|Q92851
A0A0S2Z3G9|O43707
A0A0S2Z3H8|A0A0S2Z3S5|A0A590UJF0|B0AZR9|O95467|P63092|P84996|Q14455|Q5FWY2|Q5JWD1|Q5JWF2
A0A0S2Z3I4|A0A0S2Z3J1|A0A0S2Z404|P18754|Q5T081
A0A0S2Z3V5|Q8IVA8|Q99259
A0A0S2Z3Y1|Q08380
A0A0S2Z3Y3|A0A0S2Z3Z1|A0A0S2Z444|A0A0S2Z462|P52594
A0A0S2Z456|A0A0S2Z470|Q92733|Q96FT4
A0A0S2Z475|A0A0S2Z4A3|A0A0S2Z4T6|O76083
A0A0S2Z497|P40855
A0A0S2Z4B5|A0A0S2Z4C6|Q08209
A0A0S2Z4C3|P07954
A0A0S2Z4C5|P04271
A0A0S2Z4M6|E7ERP6|O43639
