Gene,Label
P00401,0
P03875,0
P03876,0
P03877,0
P03878,0
Q9ZZX1,0
Q9ZZX0,0
P00856,0
P00854,0
P00163,0
P03873,0
Q9ZZW7,0
P03879,0
P61829,0
P02381,0
P03882,0
P00410,0
P03881,0
P00420,0
P03870,0
P03871,0
Q06891,0
P03872,0
P34111,1
P39702,0
P32471,1
P10591,0
P39704,0
P18411,0
P18410,0
P18409,0
P31376,0
P31373,0
P31385,0
P31377,0
P31378,0
P31383,0
P31374,0
P31379,0
P31380,0
P31386,0
P31384,0
P31381,0
P31382,0
P07866,0
P10962,1
P39524,0
P39735,0
P39734,0
P32492,0
P31109,0
P39732,0
P28004,1
P28005,1
P28003,0
P39731,1
P39730,0
P39729,0
Q3E741,0
P39728,0
P00549,1
P06182,0
P13365,0
P11433,1
P39727,0
Q01329,1
P39726,0
Q3E793,0
P39724,0
P39723,0
P39722,0
P39721,0
P39720,0
P39719,0
Q01574,0
P39718,0
P39717,0
P27825,0
P39715,0
P39714,0
P39713,0
P39708,0
Q6B2U8,0
O13511,0
P39709,0
Q8TGK6,0
P0CE92,0
Q05359,0
P39705,0
P39706,0
P22336,1
P39707,1
O13527,0
P0CX57,0
P27637,0
P27616,0
P22209,0
P27636,1
P39545,0
D6VPM8,0
P39547,0
P39548,0
P39549,0
P39551,0
Q8TGV0,0
P80235,0
P35845,0
P32768,0
P35195,0
P02294,0
P04912,0
P35194,1
P33200,0
Q12266,0
Q12490,0
P38210,0
P32790,0
P32479,0
Q3E821,0
P32789,0
P32788,0
P32784,0
P32785,0
P32786,1
P32316,0
P16892,0
P32319,0
P38208,1
P38207,0
P38206,1
P13434,0
P36775,0
P29469,1
P38205,0
P38204,0
P38203,1
P0CX83,0
P38202,0
Q3E756,0
P38201,0
P18239,1
P38200,0
P38199,0
P38066,0
P38198,1
P38121,1
P38197,0
P38065,0
P38064,0
P28274,0
P18414,1
P23724,1
P38196,0
P38195,0
P38194,0
P07256,0
P38193,0
P34216,0
P38191,0
P32602,1
P34217,0
P34218,0
P34219,0
P34220,0
P34221,0
P34222,0
P34223,0
P34224,0
P34225,0
P34226,0
P28742,0
P34227,0
P34228,0
P38187,0
P38063,0
P35183,0
Q8TGU8,0
Q3E840,0
P0CX39,0
P32357,1
P09435,0
P09436,1
