A,B
P18196,P18196
P0AGD7,P10121
P0AGD7,P10121
P0AFT8,Q47377
P0ADC6,Q47377
P0AAE0,Q47377
P0A7A7,Q47377
P06709,Q47377
P0ACU5,Q47377
P0A6P7,Q47377
P0AAA7,Q47377
P27832,Q47377
P61887,Q47377
P0ACC7,Q47377
P09996,Q47377
P25741,Q47377
P37692,Q47377
P67910,Q47377
P09053,Q47377
P10121,Q47377
P24182,Q47377
P16926,Q47377
P0ADV1,Q47377
P45395,Q47377
P02930,Q47377
P26647,Q47377
P0ABU7,Q47377
P52060,Q47377
P0A935,Q47377
P17115,Q47377
P41052,Q47377
P0A903,Q47377
P36548,Q47377
P0AA93,Q47377
P06996,Q47377
P77377,Q47377
P37760,Q47377
P37745,Q47377
P37747,Q47377
P37749,Q47377
P33013,Q47377
P07363,Q47377
P0AE67,Q47377
P24205,Q47377
P0A908,Q47377
P0AE60,Q47377
P76185,Q47377
P77747,Q47377
P0AEB5,Q47377
P0AEK4,Q47377
P0A924,Q47377
P0A915,Q47377
P61320,Q47377
P62615,Q47377
P76008,Q47377
P75957,Q47377
P0ADC3,Q47377
P0AEA2,Q47377
P0A6Q3,Q47377
P08506,Q47377
P0AD65,Q47377
P13039,Q47377
P09169,Q47377
P77712,Q47377
P45568,Q47377
P0A790,Q47377
P13016,Q47377
P0ABH0,Q47377
P22188,Q47377
P31554,Q47377
P31553,Q47377
P39398,P58034
P39386,P58034
P39381,P58034
P31697,P58034
P39357,P58034
P13036,P58034
P15030,P58034
P39352,P58034
P0ADC6,P58034
P39321,P58034
P0ABC7,P58034
P39285,P58034
P0AC47,P58034
P69937,P58034
P39276,P58034
P32714,P58034
P32703,P58034
P0AF52,P58034
P0A6B4,P58034
P0AE85,P58034
P0ADQ2,P58034
P76773,P58034
P0A6P7,P58034
P0AAA7,P58034
P27833,P58034
P61887,P58034
P26218,P58034
P31435,P58034
P0AG24,P58034
P0AC75,P58034
P25740,P58034
P27126,P58034
P27127,P58034
P0AFV0,P58034
P16916,P58034
P37660,P58034
P0ADJ3,P58034
P37637,P58034
P36837,P58034
P37630,P58034
P0A9R7,P58034
P0AG80,P58034
P67143,P58034
P02918,P58034
P45546,P58034
P45537,P58034
P45762,P58034
P45758,P58034
P45756,P58034
P0ADZ0,P58034
P16256,P58034
P0ADW3,P58034
P0ADV1,P58034
P0ADV9,P58034
P15373,P58034
P42591,P58034
P42590,P58034
P26647,P58034
P0ABU7,P58034
P0C066,P58034
P0A8P8,P58034
Q46909,P58034
P0A937,P58034
P0AGD7,P58034
P60785,P58034
P76577,P58034
P62620,P58034
P65290,P58034
P39836,P58034
P52599,P58034
P76507,P58034
P77682,P58034
P76503,P58034
P0A953,P58034
P77549,P58034
P77215,P58034
P08194,P58034
P09394,P58034
P0A9I5,P58034
P28246,P58034
P17315,P58034
P0A6T5,P58034
P33341,P58034
P76398,P58034
P76397,P58034
P38097,P58034
P77414,P58034
P71237,P58034
P0ACD2,P58034
P32055,P58034
P24175,P58034
P71243,P58034
P71244,P58034
P37759,P58034
P37746,P58034
P37748,P58034
P37749,P58034
P37751,P58034
P76352,P58034
P0ABF8,P58034
P0AF06,P58034
P07017,P58034
P07018,P58034
P0A9H9,P58034
P0AFS9,P58034
P24205,P58034
P0ABD1,P58034
P0A908,P58034
P38055,P58034
P06611,P58034
P37340,P58034
P77389,P58034
P28224,P58034
P0AFS3,P58034
P0AAE5,P58034
P69212,P58034
P77228,P58034
P31122,P58034
P32051,P58034
P64426,P58034
P77308,P58034
P24211,P58034
P76115,P58034
P0C7L2,P58034
P76083,P58034
P76078,P58034
P76077,P58034
P51981,P58034
P0A862,P58034
P0AGH3,P58034
P0AAH4,P58034
P23843,P58034
P62615,P58034
P75958,P58034
P75957,P58034
P28305,P58034
P0AAI5,P58034
P0A6A8,P58034
P75942,P58034
P75933,P58034
P62517,P58034
P75920,P58034
P69434,P58034
P75882,P58034
P0AFZ5,P58034
P0A6Q3,P58034
P22523,P58034
P0AB01,P58034
P04951,P58034
P27300,P58034
P21503,P58034
P60869,P58034
P75806,P58034
